Kishu Ken,Double,Short
Komondor,Corded,Long
Kromfohrlander,Smooth,Wiry,Short
Kuvasz,Double,Medium
Labrador Retriever,Double,Short
Lagotto Romagnolo,Curly,Double,Medium
Lakeland Terrier,Double,Wiry,Short
Lancashire Heeler,Double,Short
Lapponian Herder,Double,Short
Leonberger,Double,Long
Lhasa Apso,Silky,Long
Löwchen,Wavy,Long
Maltese,Silky,Long
Manchester Terrier (Standard),Smooth,Short
Manchester Terrier (Toy),Smooth,Short
Mastiff,Double,Short
Miniature American Shepherd,Double,Medium
Miniature Bull Terrier,Smooth,Short
Miniature Pinscher,Smooth,Short
Miniature Schnauzer,Double,Wiry,Medium
Mountain Cur,Smooth,Short
Mudi,Curly,Medium
Neapolitan Mastiff,Smooth,Short
Nederlandse Kooikerhondje,Wavy,Double,Medium
Newfoundland,Double,Medium
Norfolk Terrier,Double,Wiry,Short
Norrbottenspets,Double,Short
Norwegian Buhund,Double,Medium
Norwegian Elkhound,Double,Medium
Norwegian Lundehund,Double,Short
Norwich Terrier,Double,Wiry,Short
Nova Scotia Duck Tolling Retriever,Double,Medium
Old English Sheepdog,Double,Long
Otterhound,Double,Rough,Medium
Papillon,Silky,Medium
Parson Russell Terrier,Double,Smooth,Short
Pekingese,Double,Long
Pembroke Welsh Corgi,Double,Short
Perro de Presa Canario,Smooth,Short
Peruvian Inca Orchid,Smooth,Hairless,Short
Petit Basset Griffon Vendéen,Double,Rough,Long
Pharaoh Hound,Smooth,Short
Plott Hound,Smooth,Short
Pointer,Smooth,Short
Polish Lowland Sheepdog,Double,Long
Pomeranian,Double,Long
Poodle (Miniature),Curly,Long
Poodle (Standard),Curly,Long
Poodle (Toy),Curly,Long
Porcelaine,Smooth,Short
Portuguese Podengo,Smooth,Wiry,Medium
Portuguese Podengo Pequeno,Smooth,Wiry,Short
Portuguese Pointer,Smooth,Short
Portuguese Sheepdog,Wavy,Long
Portuguese Water Dog,Wavy,Curly,Long
Pudelpointer,Rough,Smooth,Wiry,Short
Pug,Smooth,Short
Puli,Double,Corded,Long
Pumi,Wavy,Curly,Medium
Pyrenean Mastiff,Double,Medium
Pyrenean Shepherd,Rough,Smooth,Medium
Rafeiro do Alentejo,Double,Short
Rat Terrier,Smooth,Short
Redbone Coonhound,Smooth,Short
Rhodesian Ridgeback,Smooth,Short
Romanian Carpathian Shepherd,0,0
Romanian Mioritic Shepherd Dog,Double,Medium
Rottweiler,Smooth,Short
Russell Terrier,Smooth,Wiry,Short
Russian Toy,Double,Short
Russian Tsvetnaya Bolonka,Wavy,Medium
Saint Bernard,Double,Rough,Smooth,Short
Saluki,Smooth,Short
Samoyed,Double,Long
Schapendoes,Double,Long
Schipperke,Double,Short
Scottish Deerhound,Double,Wiry,Medium
Scottish Terrier,Double,Wiry,Medium
Sealyham Terrier,Double,Wiry,Medium
Segugio Italiano,0,0
Shetland Sheepdog,Double,Long
Shiba Inu,Double,Short
Shih Tzu,Double,Long
Shikoku,Double,Short
Siberian Husky,Double,Medium
Silky Terrier,Silky,Long
Skye Terrier,Double,Long
Sloughi,Smooth,Short
Slovakian Wirehaired Pointer,Wiry,Short
Slovensky Cuvac,Double,Medium
Slovensky Kopov,Rough,Short
Small Munsterlander,Double,Medium
Smooth Fox Terrier,Smooth,Short
Soft Coated Wheaten Terrier,Silky,Wavy,Medium
Spanish Mastiff,Double,Smooth,Short
Spanish Water Dog,Curly,Corded,Medium
Spinone Italiano,Wiry,Medium
Stabyhoun,Double,Smooth,Short
Staffordshire Bull Terrier,Smooth,Short
Standard Schnauzer,Double,Wiry,Medium
Sussex Spaniel,Double,Medium
Swedish Lapphund,Double,Long
Swedish Vallhund,Double,Short
Taiwan Dog,Smooth,Short
Teddy Roosevelt Terrier,Smooth,Short
Thai Ridgeback,Smooth,Short
Tibetan Mastiff,Double,Medium
Tibetan Spaniel,Double,Medium
Tibetan Terrier,Double,Long
Tornjak,Double,Medium
Tosa,Double,Smooth,Short
Toy Fox Terrier,Smooth,Short
Transylvanian Hound,Smooth,Short
Treeing Tennessee Brindle,Smooth,Short
Treeing Walker Coonhound,Smooth,Short
Vizsla,Smooth,Short
Volpino Italiano,Long
Weimaraner,Smooth,Short
Welsh Springer Spaniel,Double,Medium
Welsh Terrier,Double,Wiry,Medium
West Highland White Terrier,Double,Medium
Wetterhoun,Curly,Medium
Whippet,Smooth,Short
Wire Fox Terrier,Double,Wiry,Medium
Wirehaired Pointing Griffon,Double,Wiry,Medium
Wirehaired Vizsla,Wiry,Short
Working Kelpie,Smooth,Short
Xoloitzcuintli,Smooth,Hairless,Short
Yakutian Laika,Double,Medium
Yorkshire Terrier,Silky,Long
